percorso2;plesso;denominazionescuola;istituto;nome_istituto;indirizzo;nome_comune;tel_segreteria;tel_dirigente;indirizzoemailscuola;strato;grado;tipo_scuola_std;territorio_std
IT;AVTLU25001;COSTRUZIONI AMBIENTE E TERRITORIO PARITARIO KENNEDY;AVTLU25001;CENTRO SCOLASTICO KENNEDY;VIA CIRCUMVALLAZIONE, 13;AVELLINO;825780564;0825/780564;info@kennedyavellino.it;IT_sud_metro;II Grado;Tecnico;Metropolitano
IT;PETF00301C;"ITI ""E.ALESSANDRINI"" MONTESILVANO";PEIS00300X;E. ALESSANDRINI;VIA C. D'AGNESE;MONTESILVANO;854680209;854680209;PEIS00300X@istruzione.it;IT_sud_altro;II Grado;Tecnico;Non Metropolitano
IP;TNCF005001;;TNCF005001;OPERA ARMIDA BARELLI - ROVERETO;VIA SETAIOLI, 5;ROVERETO;0464 433771;0464 433771;;IP_nord_altro;II Grado;Professionale;Non Metropolitano
licei_altro;CTSL01002C;"LICEO ARTISTICO ""E. GRECO""";CTSL01000A;EMILIO GRECO;VIA MAVILLA, 37 - VICO BUONAFÈ, 9;CATANIA;095/6136420;953522743;CTSL01000A@istruzione.it;licei_altro_sud_metro;II Grado;Liceo;Metropolitano
IP;MIRC300004;I.P. - V. KANDINSKY;MIRC300004;IPSSCSI W. KANDINSKY;VIA C. BARONI, 35;MILANO;28260979;28260979;MIRC300004@istruzione.it;IP_nord_metro;II Grado;Professionale;Metropolitano
licei_altro;FGPM03000E;"LICEO ""CAROLINA POERIO""";FGPM03000E;POERIO;CORSO ROMA, 1;FOGGIA;0881 721392;0881 721392;FGPM03000E@istruzione.it;licei_altro_sud_metro;II Grado;Liceo;Metropolitano
;;IC;MIMM01900D;SETTI CARRARO DALLA CHIESA;VIA PASSIONE, 12;MILANO;02 76001425;276001425;mive01000p@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC;VRIC851008;10 - BORGO ROMA EST;VIA B. GIULIARI, 40;VERONA;45501332;445501332;vric851008@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC;SOIC82100B;PAESI OROBICI;VIA D. GIANOLI, 16;SONDRIO;342510868;342510868;soic82100b@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC;MIIC836006;DON LORENZO MILANI;VIA TRIESTE, 21;TURBIGO;331899168;331899168;miic836006@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;NA1M03300T;FONDAZIONE ROMANO GUARDINI SACRO CUORE;CORSO EUROPA, 84;NAPOLI;817146012;817146012;segreteria@sacrocuorenapoli.org;sud_metro;ND;ND;Metropolitano
;;IC;CTIC8AJ00Q;G. GALILEI - G. MAZZINI;VIA DALIA SNC;GRAMMICHELE;933940071;31901578;ctic8aj00q@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;BG1M02700A;SACRO CUORE;VIA PESCHIERA, 4;VILLA D'ADDA;035 4380214;035.43.80214;segreteria@villapeschiera.it;nord_altro;ND;ND;Non Metropolitano
;;IC;TV1M00900Q;BALBI - VALIER;V. SARTORI, 47;PIEVE DI SOLIGO;0438 82080;43882080;info@balbivalier.it;nord_altro;ND;ND;Non Metropolitano
;;IC;NAIC80800G;BONGHI;VIA VESUVIO;NAPOLI;817596907;081 5576532;naic80800g@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;SRIC823006;I IC - PIRANDELLO;VIA P. NENNI, 3;CARLENTINI;957832690;;sric823006@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;TEIC82400B;CASTELLALTO - CELLINO ATTANASIO;VIA MADONNA DEGLI ANGELI, 11;CASTELLALTO;861296713;861296713;teic82400b@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;MIIC8BF00G;RITA LEVI MONTALCINI;VIA MAZZINI, 24;GORGONZOLA;29.513.005;;miic8bf00g@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;FGIC80800P;MATTINATA;VIA S. PELLICO, 16;MATTINATA;884550102;881520062;fgic80800p@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;TNIC82900A;BASSA ANAUNIA - TUENNO;VIA COLLE VERDE, 3 - DENNO;DENNO;0461 655783;461655783;alunni.ic.denno@scuole.provincia.tn.it;nord_altro;ND;ND;Non Metropolitano
;;IC;MN1M001009;REDENTORE;VIA GIULIO ROMANO, 15;MANTOVA;376224776;376224776;studenti@istitutiredentore.it;nord_metro;ND;ND;Metropolitano
IP;LERC031019;"IST.PROFESSIONALE""DE PACE""-LECCE";LEIS03100A;A. DE PACE;VIALE MARCHE, 13;LECCE;832345008;832345008;LEIS03100A@istruzione.it;IP_sud_metro;II Grado;Professionale;Metropolitano
licei_trad;CSPC067014;LC FAGNANO C.;CSIS06700R;SAN MARCO ARGENTANO ITCG - LC;VIA DANTE ALIGHIERI SNC;SAN MARCO ARGENTANO;0984512529 0984512523;984481317;CSIS06700R@istruzione.it;licei_trad_sud_altro;II Grado;Liceo;Non Metropolitano
licei_altro;MITD330007;LICEO E ISTITUTO TECNICO - P. LEVI;MITD330007;PRIMO LEVI;VIA VARALLI, 20;BOLLATE;02 3506465;23505973;MITD330007@istruzione.it;licei_altro_nord_altro;II Grado;Liceo;Non Metropolitano
licei_altro;PAPM04000V;IM REGINA MARGHERITA;PAPM04000V;LICEO REGINA MARGHERITA;PIAZZETTA S. SALVATORE, 1;PALERMO;91334043;916512253;PAPM04000V@istruzione.it;licei_altro_sud_metro;II Grado;Liceo;Metropolitano
IP;CARH00203P;"I.P.S.A.R. ""AZUNI""";CAIS00200C;AZUNI;VIA IS MAGLIAS, 132;CAGLIARI;70270630;70270630;CAIS00200C@istruzione.it;IP_sud_metro;II Grado;Professionale;Metropolitano
IT;BNTF011015;S. GIORGIO SANNIO;BNIS01100L;VIRGILIO;VIA TIENGO, 1;BENEVENTO;82429642;824362718;BNIS01100L@istruzione.it;IT_sud_metro;II Grado;Tecnico;Metropolitano
licei_altro;BASD053019;"LICEO ARTISTICO E MUSICALE ""LUIGI RUSSO""";BAIS05300C;LUIGI RUSSO;VIA PROCACCIA, 111 (SEGRETERIE);MONOPOLI;809303948;804951486;BAIS05300C@istruzione.it;licei_altro_sud_altro;II Grado;Liceo;Non Metropolitano
IP;TARF006018;"ISTITUTO PROFESSIONALE ""MICHELE LENTINI""";TAIS00600G;LENTINI - L. S. EINSTEIN;VIA GIUSTI, 1;MOTTOLA;998862888;998884086;TAIS00600G@istruzione.it;IP_sud_altro;II Grado;Professionale;Non Metropolitano
licei_trad;MOPS00201V;PRIMO LEVI;MOIS00200C;PRIMO LEVI;VIA RESISTENZA, 800;VIGNOLA;59771195;59688550;MOIS00200C@istruzione.it;licei_trad_nord_altro;II Grado;Liceo;Non Metropolitano
licei_altro;CRSL01601Q;"L.ARTISTICO ""MUNARI""";CRIS01600C;"I.I.S. ""BRUNO MUNARI""";VIA PIACENZA, 52A;CREMA;0373/83458;0373 83458;CRIS01600C@ISTRUZIONE.IT;licei_altro_nord_altro;II Grado;Liceo;Non Metropolitano
IP;RGRI01301E;"I.P.S.I.A. ""G. FERRARIS""";RGIS01300V;GALILEO FERRARIS;VIA NICCOLÒ TOMMASEO, 5;RAGUSA;932624026;932252860;RGIS01300V@istruzione.it;IP_sud_metro;II Grado;Professionale;Metropolitano
licei_trad;FRPC02500X;S.BERNARDO;FRPC02500X;SAN BERNARDO;ABBAZIA DI CASAMARI;VEROLI;775283244;775283244;ISTITUTOSANBERNARDO@GMAIL.COM;licei_trad_nord_altro;II Grado;Liceo;Non Metropolitano
IP;SARA010016;I.P.S.A.S.R. ANGRI;SARA010005;AGRICOLTURA E AMBIENTE;VIA DELLE CALABRIE, 63 - LOC. LAMIA;SALERNO;89849905;89849905;SARA010005@istruzione.it;IP_sud_metro;II Grado;Professionale;Metropolitano
licei_altro;SSPS05000G;LICEO SCIENTIFICO STATALE LORENZO MOSSA;SSPS05000G;LORENZO MOSSA;VIA CAMPIDANO;OLBIA;78921834;78921834;SSPS05000G@istruzione.it;licei_altro_sud_altro;II Grado;Liceo;Non Metropolitano
IP;GERI07000P;I.P.S. I.S. GASLINI/MEUCCI;GERI07000P;GASLINI - MEUCCI;VIA PASTORINO, 15;GENOVA;107403503;107403503;GERI07000P@istruzione.it;IP_nord_metro;II Grado;Professionale;Metropolitano
IP;SIRI00301C;CENNINO CENNINI;SIIS00300R;SAN GIOVANNI BOSCO;VIALE DEI MILLE, 12/A;COLLE DI VAL D'ELSA;0577 909037;577909037;SIIS00300R@istruzione.it;IP_nord_altro;II Grado;Professionale;Non Metropolitano
licei_trad;ALPS00401C;L.B. ALBERTI;ALIS004002;BENVENUTO CELLINI;STRADA PONTECURONE, 17;VALENZA;131945855;131945855;ALIS004002@istruzione.it;licei_trad_nord_altro;II Grado;Liceo;Non Metropolitano
licei_trad;SAPC040008;"""F. DE SANCTIS"" - SALERNO";SAPC040008;F. DE SANCTIS;VIA TEN. UGO STANZIONE;SALERNO;89752094;89752094;SAPC040008@istruzione.it;licei_trad_sud_metro;II Grado;Liceo;Metropolitano
licei_altro;RGSL013016;LICEO ARTISTICO G. FERRARIS;RGIS01300V;GALILEO FERRARIS;VIA NICCOLÒ TOMMASEO, 5;RAGUSA;932624026;932252860;RGIS01300V@istruzione.it;licei_altro_sud_metro;II Grado;Liceo;Metropolitano
IT;GETD00301G;I.T.S. - E.MONTALE -;GEIS003009;E. MONTALE - NUOVO I.P.C.;VIA TIMAVO, 63;GENOVA;0103762192 0103761308;103761308;GEIS003009@istruzione.it;IT_nord_metro;II Grado;Tecnico;Metropolitano
licei_trad;BSPS017019;"ROVATO (SEZ.ASS.I.S.""GIGLI"")";BSIS01700V;ROVATO LORENZO GIGLI;VIA EUROPA, 46/D;ROVATO;307721610;30660242;BSIS01700V@istruzione.it;licei_trad_nord_altro;II Grado;Liceo;Non Metropolitano
IT;CSTF068015;ITI CARIATI;CSIS06800L;IIS CARIATI LS - IPSC-IPSIA-ITI;VIA NICOLA GOLIA SNC;CARIATI;98391312;;CSIS06800L@istruzione.it;IT_sud_altro;II Grado;Tecnico;Non Metropolitano
licei_trad;CBPC00201A;"L.CLASSICO ""M.PAGANO""";CBIS002003;MARIO PAGANO;VIA G. SCARDOCCHIA SNC;CAMPOBASSO;874413704;3394279432;CBIS002003@istruzione.it;licei_trad_sud_metro;II Grado;Liceo;Metropolitano
IP;NARH105008;MARIA MONTESSORI;NARH105008;IPSEOA PARITARIO MONTESSORI;VIA MARIGLIANO, 140;SOMMA VESUVIANA;818932444;818932444;montessori@istruzionemontessori.it;IP_sud_altro;II Grado;Professionale;Non Metropolitano
licei_trad;MIPC10500T;LICEO CLASSICO ISTITUTO LEONE XIII;MIPC10500T;LEONE XIII;VIA LEONE XIII, 12;MILANO;02 4385021;02-4385021;INFO@LEONEXIII.IT;licei_trad_nord_metro;II Grado;Liceo;Metropolitano
licei_altro;SOPS050001;LICEO P.NERVI - G.FERRARI;SOPS050001;P. NERVI - G. FERRARI;PIAZZA S. ANTONIO, 9;MORBEGNO;342612541;0342 662237;SOPS050001@istruzione.it;licei_altro_nord_altro;II Grado;Liceo;Non Metropolitano
licei_altro;NUPS016019;"L. SC. ""L. DA VINCI"" LANUSEI";NUIS01600V;LEONARDO DA VINCI;VIA LEONARDO DA VINCI;LANUSEI;78242256;78242624;NUIS01600V@istruzione.it;licei_altro_sud_altro;II Grado;Liceo;Non Metropolitano
;;IC;VVIC81500A;SORIANO CAL. CAPOLUOGO;VIA CORRADO ALVARO;SORIANO CALABRO;0963 351006;9631950702;vvic81500a@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;PAIC8BB00P;MANERI - INGRASSIA - DON MILANI;PASSAGGIO DEI PICCIOTTI, 3;PALERMO;091/476364;91476364;paic8bb00p@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;BOIC82700P;MINERBIO;VIA DON C. ZAMBONI, 5;MINERBIO;51878146;51878146;boic82700p@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;REIC841008;LEPIDO;VIA PREMUDA, 34;REGGIO NELL'EMILIA;522585889;0522-585889;reic841008@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC;PSIS00700A;DELLA ROVERE;VIA XXIII GENNAIO;URBANIA;722319435;722818546;psis00700a@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;RM1M074003;S. GIOVANNI BATTISTA;VIA CASALE S. PIO V, 11;ROMA;666000849;666000849;scuola.sgb.rm@gmail.com;nord_metro;ND;ND;Metropolitano
;;IC;GEIC860009;STURLA;VIA V. ERA, 1B;GENOVA;10387504;103774911;geic860009@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC;NAIC8BV009;CASANOVA - COSTANTINOPOLI;PIAZZA CAVOUR, 25;NAPOLI;81291403;81291403;naic8bv009@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;TNIC85500V;ROVERETO SUD;VIA BENACENSE, 32;ROVERETO;464420532;464420532;segr.ic.roveretosud@scuole.provincia.tn.it;nord_altro;ND;ND;Non Metropolitano
;;IC;CAIC86800V;VIA STOCCOLMA;VIA STOCCOLMA, 1;CAGLIARI;7043069;7043069;caic86800v@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;PEIC83200Q;PESCARA 6;VIA SCARFOGLIO, 35;PESCARA;085 67422;8567422;peic83200q@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;PAIC888009;GIOVANNI XXIII;VIA PIERSANTI MATTARELLA, 9;TRABIA;91544510;91544510;paic888009@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;VEIC81400N;UGO FOSCOLO;FONDAMENTA RADI, 9/A;VENEZIA;41739107;415225295;veic81400n@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC;UD1M00600L;G. BEARZI;VIA DON BOSCO, 2;UDINE;0432 493911;432493911;segreteria@bearzi.it;nord_metro;ND;ND;Metropolitano
;;IC;NAIC8FM00X;91 - MINNITI;VIA CONSALVO, 93;NAPOLI;081 2391129;812391129;naic8fm00x@istruzione.it;sud_metro;ND;ND;Metropolitano
IP;CNRH028024;"DRONERO ""GIANFRANCO DONADIO""";CNIS02800V;VINCENZO VIRGINIO - GIANFRANCO DONADIO;VIA SAVIGLIANO, 25;CUNEO;17165658;17165658;CNIS02800V@istruzione.it;IP_nord_metro;II Grado;Professionale;Metropolitano
licei_altro;NUPS00601P;"L.SC. ""A. BUSINCO"" JERZU";NUIS006008;A. BUSINCO;VIA BUSINCO, 31;JERZU;78270255;78270056;NUIS006008@istruzione.it;licei_altro_sud_altro;II Grado;Liceo;Non Metropolitano
licei_altro;MITF19000B;ISTITUTO TECNICO E LICEO - A. STEINER;MITF19000B;I.T.S.O.S. ALBE STEINER;VIA S. DIONIGI, 36;MILANO;25391391;25391391;MITF19000B@istruzione.it;licei_altro_nord_metro;II Grado;Liceo;Metropolitano
IT;TVTF01101V;I.T.I.S. MOTTA LIVENZA (S.C. I.S. MOTTA);TVIS01100A;A. SCARPA;VIA I MAGGIO, 3;MOTTA DI LIVENZA;422766101;422766101;TVIS01100A@istruzione.it;IT_nord_altro;II Grado;Tecnico;Non Metropolitano
IT;KRTA004018;ISTITUTO TECNICO AGRARIO;KRIS00400C;GIUSEPPE GANGALE;PIAZZA KENNEDY, 10;CIRÒ MARINA;96235994;96235994;KRIS00400C@istruzione.it;IT_sud_altro;II Grado;Tecnico;Non Metropolitano
IP;RARC07000X;"I.P.S. ""A.OLIVETTI - C. CALLEGARI""";RARC07000X;"I.P.S. ""OLIVETTI - CALLEGARI""";VIA UMAGO, 18;RAVENNA;544420329;544420329;RARC07000X@istruzione.it;IP_nord_metro;II Grado;Professionale;Metropolitano
licei_trad;CZPS01801T;"LS ""A.GUARASCI"" SOVERATO";CZIS01800B;A. GUARASCI - ANTONINO CALABRETTA;VIA C. AMIRANTE;SOVERATO;96721058;96721058;CZIS01800B@istruzione.it;licei_trad_sud_altro;II Grado;Liceo;Non Metropolitano
licei_trad;CTPC605004;SAVOIA;CTPC605004;SAVOIA;VIA NAPOLI, 117;CATANIA;957227118;095 7227118 095 722.5171;INFO@ISTITUTOSAVOIA.IT;licei_trad_sud_metro;II Grado;Liceo;Metropolitano
IP;SSRA00302N;PERFUGAS;SSIS00300L;"I.I.S. ""N. PELLEGRINI""";VIA BELLINI, 5;SASSARI;79244110;79244110;SSIS00300L@istruzione.it;IP_sud_metro;II Grado;Professionale;Metropolitano
licei_trad;CEPS02000T;LS ENRICO FERMI AVERSA;CEPS02000T;ENRICO FERMI;VIA FERMI;AVERSA;815020007;815020007;CEPS02000T@istruzione.it;licei_trad_sud_altro;II Grado;Liceo;Non Metropolitano
IT;NATFGA500B;;NATFGA500B;SANTA MARIA DEL POZZO (ART. INFORMATICA);VIA GIAMBATTISTA VELA 318;NAPOLI;;;;IT_sud_metro;II Grado;Tecnico;Metropolitano
licei_altro;RMPL355003;L.LING. MONS. TOZZI;RMPL355003;MONS. TOZZI;V. CASALETTO, 35;ROMA;65346270;65346270;tozzist@tin.it;licei_altro_nord_metro;II Grado;Liceo;Metropolitano
IP;PGRA02801V;"""U. PATRIZI""";PGIS02800V;PATRIZI - BALDELLI - CAVALLOTTI;VIALE BOLOGNI, 86;CITTÀ DI CASTELLO;758521144;758521144;PGIS02800V@istruzione.it;IP_nord_altro;II Grado;Professionale;Non Metropolitano
IT;SRTL49500I;"ISTITUTO PARITARIO ""S. QUASIMODO""";SRTL49500I;S. QUASIMODO;VIA S. GIUSEPPE, 13;SIRACUSA;93169666;3337332245;quasimodomagica@libero.it;IT_sud_metro;II Grado;Tecnico;Metropolitano
IT;CHTL31500X;PITAGORA;CHTL31500X;PITAGORA;VIA F. P. TOSTI, 38;FRANCAVILLA AL MARE;85817618;8551288;istpitag@tin.it;IT_sud_altro;II Grado;Tecnico;Non Metropolitano
licei_altro;VRPLHM500A;"LICEO LINGUISTICO ""DON BOSCO""";VRPLHM500A;DON BOSCO;VIA ANTONIO PROVOLO, 16;VERONA;045 8070786;458070711;SEGRETERIA.DBOSCO@SALESIANIVERONA.IT;licei_altro_nord_metro;II Grado;Liceo;Metropolitano
IP;NARFRT500R;GIOVANNI VERGA (servizi per la sanità e l'assistenza sociale);NARFRT500R;GIOVANNI VERGA (SERVIZI PER LA SANITÃ E L'ASSISTENZA SOCIALE);VIA GUGLIELMO MARCONI, 22;ACERRA;812132505;818859442;istitutogverga@hotmail.com;IP_sud_altro;II Grado;Professionale;Non Metropolitano
licei_altro;VAPS11000A;"L. SCIENT. ""SERENI"" - LUINO";VAPS11000A;"LICEO SCIENTIFICO ""SERENI"" LUINO";VIA LUGANO, 24;LUINO;332531585;332531585;VAPS11000A@istruzione.it;licei_altro_nord_altro;II Grado;Liceo;Non Metropolitano
IP;SARH04301N;IPSEOA ANGRI;SAIS04300D;G. FORTUNATO;VIA CUPARELLA, 1;ANGRI;815135420;815135420;SAIS04300D@istruzione.it;IP_sud_altro;II Grado;Professionale;Non Metropolitano
IT;VATN003015;CITTA DI LUINO-CARLO VOLONTE (TURISMO);VAIS003001;CITTÀ DI LUINO - CARLO VOLONTÈ;VIA LUGANO, 24/A;LUINO;0332 530387;0332 575515;VAIS003001@istruzione.it;IT_nord_altro;II Grado;Tecnico;Non Metropolitano
IP;SARH05702L;IPSAR CAPACCIO;SAIS05700B;IIS IPSAR PIRANESI;VIA MAGNA GRAECIA;CAPACCIO PAESTUM;8281991160;8281991160;SAIS05700B@istruzione.it;IP_sud_altro;II Grado;Professionale;Non Metropolitano
IT;VITD016013;"ITC ""ALMERICO DA SCHIO""";VIIS01600R;I.I.S. ALMERICO DA SCHIO;VIA BADEN POWELL, 33;VICENZA;0444 294320;0444/294320;VIIS01600R@istruzione.it;IT_nord_metro;II Grado;Tecnico;Metropolitano
licei_trad;CHPS02101B;LICEO SCIENTIFICO;CHIS021001;NICOLA DA GUARDIAGRELE;VIA GRELE, 24/A;GUARDIAGRELE;87182232;87182232;CHIS021001@istruzione.it;licei_trad_sud_altro;II Grado;Liceo;Non Metropolitano
IP;MTRF00901N;"I.P. PER SERV.SOC.""I. MORRA"" - MATERA";MTIS009001;ISABELLA MORRA;VIA DANTE, 84;MATERA;835386268;3473710529;MTIS009001@istruzione.it;IP_sud_metro;II Grado;Professionale;Metropolitano
IT;PDTD027014;I.T.T. (S.A. IIS L.DA VINCI) - PD;PDIS02700T;LEONARDO DA VINCI;VIA SAN GIOVANNI DI VERDARA, 36;PADOVA;049 8724155;498724155;PDIS02700T@istruzione.it;IT_nord_metro;II Grado;Tecnico;Metropolitano
licei_altro;TNPM01000X;;TNPM01000X;ANTONIO ROSMINI;VIA B. MALFATTI, 2;TRENTO;0461 914400;0461 914400;;licei_altro_nord_metro;II Grado;Liceo;Metropolitano
licei_trad;VAPC020001;ERNESTO CAIROLI - VARESE;VAPC020001;ERNESTO CAIROLI;VIA DANTE, 11;VARESE;332281690;331921114;VAPC020001@istruzione.it;licei_trad_nord_metro;II Grado;Liceo;Metropolitano
;;IC ;RMIC8GA002;VIA P. STABILINI;VIA P. STABILINI, 19;ROMA;672970371;67221968;rmic8ga002@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC ;LEIC887006;POLO 1;PIAZZA FORTUNATO CESARI, 14;GALATINA;836566035;836566035;leic887006@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC ;NAIC89900V;TERESA CONFALONIERI;VICO SS. FILIPPO E GIACOMO - VICO SAN SEVERINO;NAPOLI;815517035;815517035;naic89900v@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC ;RMIC8FA00B;VIA CASALE DEL FINOCCHIO;VIA CASALE DEL FINOCCHIO, 56;ROMA;06 20764796;06 20764796;rmic8fa00b@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC ;RAIC82800B;N. 1 - INTERCOMUNALE RAVENNA/CERVIA;VIA MARTIRI FANTINI, 46;RAVENNA;544951728;438451624;raic82800b@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC ;MOIC84900D;IC2 RAVARINO;VIA ROMA, 173/B;RAVARINO;59800880;;direzione@ic2ravarino.edu.it;nord_altro;ND;ND;Non Metropolitano
;;IC ;TRMM045005;L. DA VINCI E O. NUCULA;VIA LUIGI LANZI, 15;TERNI;744402156;744402156;trmm045005@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC ;NAIC8F100C;VILLA FLEURENT - NA 20;CALATA CAPODICHINO, 211/A;NAPOLI;0817800700 5990161;3,93E+11;naic8f100c@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC ;MSIC81200D;MASSA 6;PIAZZA ALBANIA, 7;MASSA;585833924;58542079;msic81200d@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC ;CLIC81800D;L. DA VINCI;VIA CONCETTO MARCHESI, 11;MUSSOMELI;934951239;934951239;clic81800d@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC ;NA1M008005;SUORE FRANCESCANE ADORATRICI CROCE;VIA NUOVA P. LUDOVICO, 26;CASORIA;081 7571335;817571335;istitutovelotti@tin.it;sud_altro;ND;ND;Non Metropolitano
;;IC ;FGIC86200B;CATALANO + MOSCATI;VIA MARIO ALTAMURA - PARCO SAN FELICE;FOGGIA;881746552;881746552;fgic86200b@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC ;CRIC817004;LUIGI CHIESA;VIA UNGARETTI, 38;SPINO D'ADDA;0373 980272;0373 980272;didattica@icspinodadda.edu.it;nord_altro;ND;ND;Non Metropolitano
;;IC ;PAIC87200Q;PADRE PINO PUGLISI;VIA FRANCESCO PANZERA, 28;PALERMO;916307402;3936303798;paic87200q@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC ;BAIC818001;MASSARI - GALILEI;VIA DANIELE PETRERA, 80;BARI;808653300;805566662;baic818001@istruzione.it;sud_metro;ND;ND;Metropolitano
IP;PZRA029013;"I.P.S.A.S.R. ""G.FORTUNATO"" GENZANO DI L.";PZIS029003;E. MAJORANA;VIA G. PENNELLA;GENZANO DI LUCANIA;0971 774136;971774136;PZIS029003@istruzione.it;IP_sud_altro;II Grado;Professionale;Non Metropolitano
licei_altro;LEPM01000Q;"LICEO ""P. SICILIANI""";LEPM01000Q;LICEO PIETRO SICILIANI;VIA DI LEUCA, 2/L;LECCE;0832 246020 - 0832241707;832246020;LEPM01000Q@istruzione.it;licei_altro_sud_metro;II Grado;Liceo;Metropolitano
licei_trad;AGPC010001;LICEO CLASSICO - EMPEDOCLE;AGPC010001;EMPEDOCLE;VIA EMPEDOCLE;AGRIGENTO;92220335;92220335;AGPC010001@istruzione.it;licei_trad_sud_metro;II Grado;Liceo;Metropolitano
licei_trad;PAPC030004;MELI;PAPC030004;GIOVANNI MELI;VIA S. ALDISIO, 2;PALERMO;916884720;916143417;PAPC030004@istruzione.it;licei_trad_sud_metro;II Grado;Liceo;Metropolitano
IT;PATD03801P;"I.T. ECONOMICO E TURISMO ""PIO LA TORRE""";PAIS03800C;PIO LA TORRE;VIA NINA SICILIANA, 22;PALERMO;091 6521539;916521539;PAIS03800C@istruzione.it;IT_sud_metro;II Grado;Tecnico;Metropolitano
licei_altro;RMPL085008;LICEO LINGUISTICO KENNEDY;RMPL085008;KENNEDY;VIA GIOSUE CARDUCCI, 2;ROMA;66796652;66796652;info@kennedyscuola.it;licei_altro_nord_metro;II Grado;Liceo;Metropolitano
licei_altro;AGPS02000P;LICEO SCIENTIFICO - ENRICO FERMI;AGPS02000P;ENRICO FERMI;VIA PARMA, 1;SCIACCA;92585103;92521061;AGPS02000P@istruzione.it;licei_altro_sud_altro;II Grado;Liceo;Non Metropolitano
licei_trad;CZPS002018;LS GIRIFALCO -I.S.-;CZIS00200T;ETTORE MAJORANA;VIA XXV APRILE;GIRIFALCO;0968 749233;968749233;CZIS00200T@istruzione.it;licei_trad_sud_altro;II Grado;Liceo;Non Metropolitano
licei_altro;PIPS01000Q;LICEO SCIENTIFICO G.MARCONI;PIPS01000Q;MARCONI;VIA TRENTO, 74 - LOC. LA SCALA;SAN MINIATO;0571 418392 419879;490990001;PIPS01000Q@istruzione.it;licei_altro_nord_altro;II Grado;Liceo;Non Metropolitano
licei_trad;AQPS018016;LICEO SCIENTIFICO A. BAFILE;AQIS01800Q;A. BAFILE;VIA ACQUASANTA, 16;L'AQUILA;862410212;862410212;AQIS01800Q@istruzione.it;licei_trad_sud_metro;II Grado;Liceo;Metropolitano
licei_altro;RMPS024013;"LICEO SCIENTIFICO ""GUGLIELMO MARCONI""";RMIS02400L;I.I.S.VIA DELLE SCIENZE COLLEFERRO;VIA DELLE SCIENZE E DELLA TECNICA SNC;COLLEFERRO;6121126040;6121126040;RMIS02400L@istruzione.it;licei_altro_nord_altro;II Grado;Liceo;Non Metropolitano
licei_altro;NASD04000B;"LICEO ARTISTICO STATALE-""G. DE CHIRICO""";NASD04000B;G. DE CHIRICO;VIA VITTORIO VENETO, 514;TORRE ANNUNZIATA;081 536 28 38;815721777;NASD04000B@istruzione.it;licei_altro_sud_altro;II Grado;Liceo;Non Metropolitano
licei_trad;RMPS094019;ARCHIMEDE;RMIS09400V;PACINOTTI - ARCHIMEDE;VIA MONTAIONE, 15;ROMA;6121123545;6111123545;RMIS09400V@istruzione.it;licei_trad_nord_metro;II Grado;Liceo;Metropolitano
licei_altro;GEPMAH500O;Duchessa di Galliera;GEPMAH500O;DUCHESSA DI GALLIERA;CORSO MENTANA, 27;GENOVA;10541907;;duchessadigalliera@genoaschool.eu;licei_altro_nord_metro;II Grado;Liceo;Metropolitano
